airport,NYC,New York,NY
airport,CHI,Chicago,IL
airport,ORL,Orlando,FL
airport,PHL,Philadelphia,PA
airport,DFW,Dallas,TX
airport,HOU,Houston,TX
airport,PHX,Phoenix,AZ
airport,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA
airport,ORD,Chicago O'Hare International,Chicago,IL
airport,LAX,Los Angeles International,Los Angeles,CA
airport,DFW,Fort Worth, TX - Dallas/Fort Worth International,Dallas
airport,DEN,Denver International,Denver,CO
airport,JFK,John F Kennedy International,New York,NY
airport,LAS,McCarran International,Las Vegas,NV
airport,IAH,George Bush Intercontinental/Houston,Houston,TX
airport,PHX,Phoenix Sky Harbor International,Phoenix,AZ
airport,SFO,San Francisco International,San Francisco,CA
airport,CLT,Charlotte/Douglas International,Charlotte,NC
airport,EWR,Newark Liberty International,Newark,NJ
airport,MCO,Orlando International,Orlando,FL
airport,MIA,Miami International,Miami,FL
airport,MSP,Minneapolis-St Paul International/Wold-Chamberlain,Minneapolis,MN
airport,SEA,Seattle-Tacoma International,Seattle,WA
airport,DTW,Detroit Metropolitan Wayne County,Detroit,MI
airport,PHL,Philadelphia International,Philadelphia,PA
airport,BOS,General Edward Lawrence Logan Int'l,Boston,MA
airport,IAD,Washington Dulles International,Washington,VA
airport,LGA,La Guardia,New York,NY
airport,BWI,Baltimore/Washington International/Thurgood Marshal,Baltimore,MD
airport,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL
airport,SLC,Salt Lake City International,Salt Lake City,UT
airport,HNL,Honolulu International,Honolulu,HI
airport,DCA,Ronald Reagan Washington National,Washington,VA
airport,SAN,San Diego International,San Diego,CA
airport,TPA,Tampa International,Tampa,FL
airport,MDW,Chicago Midway International,Chicago,IL
airport,PDX,Portland International,Portland,OR
airport,STL,Lambert-St Louis International,St. Louis,MO
airport,CVG,Cincinnati/Northern Kentucky International,Covington,KY
airport,MEM,Memphis International,Memphis,TN
airport,MCI,Kansas City International,Kansas City,MO
airport,CLE,Cleveland-Hopkins International,Cleveland,OH
airport,OAK,Metropolitan Oakland International,Oakland,CA
airport,SMF,Sacramento International,Sacramento,CA
airport,RDU,Raleigh-Durham International,Raleigh/Durham,NC
airport,BNA,Nashville International,Nashville,TN
airport,SNA,John Wayne Airport-Orange County,Santa Ana,CA
airport,SJC,Norman Y. Mineta San Jose International,San Jose,CA
airport,SJU,Luis Munoz Marin International,San Juan,PR
airport,HOU,William P Hobby,Houston,TX
airport,AUS,Austin-Bergstrom International,Austin,TX
airport,PIT,Pittsburgh International,Pittsburgh,PA
airport,MSY,Louis Armstrong New Orleans International,New Orleans,LA
airport,MKE,General Mitchell International,Milwaukee,WI
airport,SAT,San Antonio International,San Antonio,TX
airport,IND,Indianapolis International,Indianapolis,IN
airport,DAL,Dallas Love Field,Dallas,TX
airport,RSW,Southwest Florida International,Fort Myers,FL
airport,CMH,Port Columbus International,Columbus,OH
airport,PBI,Palm Beach International,West Palm Beach,FL
airport,ABQ,Albuquerque International Sunport,Albuquerque,NM
airport,JAX,Jacksonville International,Jacksonville,FL
airport,BUF,Buffalo Niagara International,Buffalo,NY
airport,BDL,Bradley International,Windsor Locks,CT
airport,OGG,Kahului,Kahului,HI
airport,ONT,Ontario International,Ontario,CA
airport,BUR,Bob Hope,Burbank,CA
airport,ANC,Ted Stevens Anchorage International,Anchorage,AK
airport,PVD,Theodore Francis Green State,Providence,RI
airport,OMA,Eppley Airfield,Omaha,NE
airport,RNO,Reno/Tahoe International,Reno,NV
airport,TUS,Tucson International,Tucson,AZ
airport,ORF,Norfolk International,Norfolk,VA
airport,OKC,Will Rogers World,Oklahoma City,OK
airport,RIC,Richmond International,Richmond,VA
airport,SDF,Louisville International-Standiford Field,Louisville,KY
airport,MHT,Manchester,Manchester,NH
airport,ELP,El Paso International,El Paso,TX
airport,GEG,Spokane International,Spokane,WA
airport,BHM,Birmingham-Shuttlesworth International,Birmingham,AL
airport,TUL,Tulsa International,Tulsa,OK
airport,LGB,Long Beach /Daugherty Field/,Long Beach,CA
airport,BOI,Boise Air Terminal/Gowen Field,Boise,ID
airport,ALB,Albany International,Albany,NY
airport,KOA,Kona International at Keahole,Kailua/Kona,HI
airport,ROC,Greater Rochester International,Rochester,NY
airport,GUM,Guam International,Agana,GU
airport,DAY,James M Cox Dayton International,Dayton,OH
airport,LIH,Lihue,Lihue,HI
airport,LIT,Adams Field,Little Rock,AR
airport,CHS,Charleston AFB/International,Charleston,SC
airport,SYR,Syracuse Hancock International,Syracuse,NY
airport,HPN,Westchester County,White Plains,NY
airport,COS,City of Colorado Springs Municipal,Colorado Springs,CO
airport,ISP,Long Island MacArthur,New York,NY
airport,GRR,Gerald R. Ford International,Grand Rapids,MI
airport,PWM,Portland International Jetport,Portland,ME
airport,GSO,Piedmont Triad International,Greensboro,NC
airport,DSM,Des Moines International,Des Moines,IA
airport,SFB,Orlando Sanford International,Orlando,FL
airport,TYS,McGhee Tyson,Knoxville,TN
airport,SAV,Savannah/Hilton Head International,Savannah,GA
airport,MSN,Dane County Regional-Truax Field,Madison,WI
airport,PSP,Palm Springs International,Palm Springs,CA
airport,ICT,Wichita Mid-Continent,Wichita,KS
airport,CAK,Akron-Canton Regional,Akron,OH
airport,MYR,Myrtle Beach International,Myrtle Beach,SC
airport,BTV,Burlington International,Burlington,VT
airport,PNS,Pensacola Gulf Coast Regional,Pensacola,FL
airport,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL
airport,ITO,Hilo International,Hilo,HI
airport,JAN,Jackson-Evers International,Jackson,MS
airport,GSP,Greenville Spartanburg International,Greer,SC
airport,MDT,Harrisburg International,Harrisburg,PA
airport,STT,Cyril E King,Charlotte Amalie,VI
airport,FAT,Fresno Yosemite International,Fresno,CA
airport,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL
airport,LBB,Lubbock Preston Smith International,Lubbock,TX
airport,XNA,Northwest Arkansas Regional,Fayetteville/Springdale/,AR
airport,ACY,Atlantic City International,Atlantic City,NJ
