"airports","NYC","New York, NY","New York","NY"
"airports","CHI","Chicago, IL","Chicago","IL"
"airports","ORL","Orlando, FL","Orlando","FL"
"airports","PHL","Philadelphia, PA","Philadelphia","PA"
"airports","DFW","Dallas, TX","Dallas","TX"
"airports","HOU","Houston, TX","Houston","TX"
"airports","PHX","Phoenix, AZ","Phoenix","AZ"
"airports","ATL","Hartsfield - Jackson Atlanta International","Atlanta, GA","Atlanta","GA"
"airports","ORD","Chicago O'Hare International","Chicago, IL","Chicago","IL"
"airports","LAX","Los Angeles International","Los Angeles, CA","Los Angeles","CA"
"airports","DFW","Fort Worth, TX - Dallas/Fort Worth International","Dallas","Dallas"
"airports","DEN","Denver International","Denver, CO","Denver","CO"
"airports","JFK","John F Kennedy International","New York, NY","New York","NY"
"airports","LAS","McCarran International","Las Vegas, NV","Las Vegas","NV"
"airports","IAH","George Bush Intercontinental/Houston","Houston, TX","Houston","TX"
"airports","PHX","Phoenix Sky Harbor International","Phoenix, AZ","Phoenix","AZ"
"airports","SFO","San Francisco International","San Francisco, CA","San Francisco","CA"
"airports","CLT","Charlotte/Douglas International","Charlotte, NC","Charlotte","NC"
"airports","EWR","Newark Liberty International","Newark, NJ","Newark","NJ"
"airports","MCO","Orlando International","Orlando, FL","Orlando","FL"
"airports","MIA","Miami International","Miami, FL","Miami","FL"
"airports","MSP","Minneapolis-St Paul International/Wold-Chamberlain","Minneapolis, MN","Minneapolis","MN"
"airports","SEA","Seattle-Tacoma International","Seattle, WA","Seattle","WA"
"airports","DTW","Detroit Metropolitan Wayne County","Detroit, MI","Detroit","MI"
"airports","PHL","Philadelphia International","Philadelphia, PA","Philadelphia","PA"
"airports","BOS","General Edward Lawrence Logan Int'l","Boston, MA","Boston","MA"
"airports","IAD","Washington Dulles International","Washington, VA","Washington","VA"
"airports","LGA","La Guardia","New York, NY","New York","NY"
"airports","BWI","Baltimore/Washington International/Thurgood Marshal","Baltimore, MD","Baltimore","MD"
"airports","FLL","Fort Lauderdale/Hollywood International","Fort Lauderdale, FL","Fort Lauderdale","FL"
"airports","SLC","Salt Lake City International","Salt Lake City, UT","Salt Lake City","UT"
"airports","HNL","Honolulu International","Honolulu, HI","Honolulu","HI"
"airports","DCA","Ronald Reagan Washington National","Washington, VA","Washington","VA"
"airports","SAN","San Diego International","San Diego, CA","San Diego","CA"
"airports","TPA","Tampa International","Tampa, FL","Tampa","FL"
"airports","MDW","Chicago Midway International","Chicago, IL","Chicago","IL"
"airports","PDX","Portland International","Portland, OR","Portland","OR"
"airports","STL","Lambert-St Louis International","St. Louis, MO","St. Louis","MO"
"airports","CVG","Cincinnati/Northern Kentucky International","Covington, KY","Covington","KY"
"airports","MEM","Memphis International","Memphis, TN","Memphis","TN"
"airports","MCI","Kansas City International","Kansas City, MO","Kansas City","MO"
"airports","CLE","Cleveland-Hopkins International","Cleveland, OH","Cleveland","OH"
"airports","OAK","Metropolitan Oakland International","Oakland, CA","Oakland","CA"
"airports","SMF","Sacramento International","Sacramento, CA","Sacramento","CA"
"airports","RDU","Raleigh-Durham International","Raleigh/Durham, NC","Raleigh/Durham","NC"
"airports","BNA","Nashville International","Nashville, TN","Nashville","TN"
"airports","SNA","John Wayne Airport-Orange County","Santa Ana, CA","Santa Ana","CA"
"airports","SJC","Norman Y. Mineta San Jose International","San Jose, CA","San Jose","CA"
"airports","SJU","Luis Munoz Marin International","San Juan, PR","San Juan","PR"
"airports","HOU","William P Hobby","Houston, TX","Houston","TX"
"airports","AUS","Austin-Bergstrom International","Austin, TX","Austin","TX"
"airports","PIT","Pittsburgh International","Pittsburgh, PA","Pittsburgh","PA"
"airports","MSY","Louis Armstrong New Orleans International","New Orleans, LA","New Orleans","LA"
"airports","MKE","General Mitchell International","Milwaukee, WI","Milwaukee","WI"
"airports","SAT","San Antonio International","San Antonio, TX","San Antonio","TX"
